name,team,DASP
"Jesse Chavez","Los Angeles Dodgers",-0.014859449541284403
"Wei-Yin Chen","Miami Marlins",-0.015212307692307692
"Tony Cingrani","Cincinnati Reds",-0.026708191881918836
"Steve Cishek","Seattle Mariners",0.08705364341085273
"Alex Claudio","Texas Rangers",-0.05083797235023044
"Paul Clemens","San Diego Padres",-0.03149003745318352
"Mike Clevinger","Cleveland Indians",0.007072274678111584
"Tyler Clippard","Arizona Diamondbacks",0.08925419354838707
"Tyler Clippard","New York Yankees",0.035470654205607466
"Alex Cobb","Tampa Bay Rays",-0.053673846153846155
"A. J. Cole","Washington Nationals",0.02462285714285714
"Gerrit Cole","Pittsburgh Pirates",-0.013844110671936777
"Louis Coleman","Los Angeles Dodgers",0.005750142180094786
"Josh Collmenter","Arizona Diamondbacks",-0.032262268041237135
"Alex Colome","Tampa Bay Rays",0.10663929203539821
"Bartolo Colon","New York Mets",-0.045699519595448795
"Joseph Colon","Cleveland Indians",-0.007519999999999999
"Adam Conley","Miami Marlins",0.0048087671232876494
"Patrick Corbin","Arizona Diamondbacks",-0.02064410841654779
"Jarred Cosart","Miami Marlins",-0.08795478260869566
"Jarred Cosart","San Diego Padres",-0.0541109090909091
"Caleb Cotham","Cincinnati Reds",-0.028032820512820522
"Jharel Cotton","Oakland Athletics",-0.002162857142857161
"Daniel Coulombe","Oakland Athletics",0.07227274611398962
"Tyler Cravy","Milwaukee Brewers",-0.017864827586206916
"Kyle Crockett","Cleveland Indians",0.035337142857142845
"Johnny Cueto","San Francisco Giants",0.017224608399545954
"Brandon Cunniff","Atlanta Braves",0.008696216216216218
"Zac Curtis","Arizona Diamondbacks",-0.05826626865671644
"John Danks","Chicago White Sox",-0.04752000000000001
"Yu Darvish","Texas Rangers",0.10978769230769228
"Zach Davies","Milwaukee Brewers",-0.009572785923753685
"Wade Davis","Kansas City Royals",0.05952545454545452
"Grant Dayton","Los Angeles Dodgers",0.17861861386138614
"Pat Dean","Minnesota Twins",-0.04085333333333335
"Jacob deGrom","New York Mets",0.029234966887417196
"Steve Delabar","Cincinnati Reds",0.04247999999999999
"Joel De La Cruz","Atlanta Braves",-0.07346202898550724
"Jorge De La Rosa","Colorado Rockies",-0.03162423452768731
"Rubby De La Rosa","Arizona Diamondbacks",0.03572324324324325
"Jose De Leon","Los Angeles Dodgers",-0.02002000000000001
"Randall Delgado","Arizona Diamondbacks",-0.005739584569732947
"Abel De Los Santos","Cincinnati Reds",-0.13609142857142859
"Matt Dermody","Toronto Blue Jays",0.10497999999999999
"Anthony DeSclafani","Cincinnati Reds",-0.0004194082840236757
"Odrisamer Despaigne","Baltimore Orioles",-0.06817573770491805
"Ross Detwiler","Cleveland Indians",-0.06466285714285716
"Ross Detwiler","Oakland Athletics",-0.09194211055276383
"Chris Devenski","Houston Astros",0.0473819607843137
"Dayan Diaz","Cincinnati Reds",-0.12418666666666668
"Edwin Diaz","Seattle Mariners",0.1980099539170507
"Jumbo Diaz","Cincinnati Reds",-0.004223296703296714
"R. A. Dickey","Toronto Blue Jays",-0.03444307692307694
"Jake Diekman","Texas Rangers",0.05944832579185519
"Jose Dominguez","San Diego Padres",-0.07848774193548388
"Sean Doolittle","Oakland Athletics",0.0828025806451613
"Oliver Drake","Baltimore Orioles",0.07626378378378376
"Brian Duensing","Baltimore Orioles",-0.025701818181818187
"Tyler Duffey","Minnesota Twins",-0.01624483221476511
"Danny Duffy","Kansas City Royals",0.04966194254445963
"Zach Duke","Chicago White Sox",0.0566309433962264
"Zach Duke","St. Louis Cardinals",0.05510626262626264
"Ryan Dull","Oakland Athletics",0.044204137931034476
"Mike Dunn","Miami Marlins",0.008389090909090902
"Sam Dyson","Texas Rangers",-0.014537543859649144
"Josh Edgin","New York Mets",0.036924444444444426
"Carl Edwards","Chicago Cubs",0.16929159420289855
"Zach Eflin","Philadelphia Phillies",-0.0935494117647059
"Cody Ege","Miami Marlins",-0.10225684210526317
"Cody Ege","Los Angeles Angels of Anaheim",0.04247999999999999
"Jerad Eickhoff","Philadelphia Phillies",-0.0016013810110974136
"Brian Ellington","Miami Marlins",0.017832112676056333
"Nathan Eovaldi","New York Yankees",-0.022758095238095244
"Edwin Escobar","Arizona Diamondbacks",-0.06096827586206899
"Carlos Estevez","Colorado Rockies",0.03231739837398373
"Marco Estrada","Toronto Blue Jays",0.020695767634854756
"Dana Eveland","Tampa Bay Rays",-0.03104941176470588
"Jeurys Familia","New York Mets",0.05416224299065417
"Buck Farmer","Detroit Tigers",-0.0014131297709923663
"Danny Farquhar","Tampa Bay Rays",0.0836192405063291
"Andrew Faulkner","Texas Rangers",-0.17627
"Scott Feldman","Houston Astros",-0.04902943396226417
"Scott Feldman","Toronto Blue Jays",-0.0157391780821918
"Michael Feliz","Houston Astros",0.14433185185185185
"Neftali Feliz","Pittsburgh Pirates",0.07229651376146787
"Jose Fernandez","Miami Marlins",0.13576358208955222
"Josh Fields","Houston Astros",0.07417014084507043
"Josh Fields","Los Angeles Dodgers",0.04535356321839082
"Casey Fien","Minnesota Twins",-0.017043809523809544
"Casey Fien","Los Angeles Dodgers",0.009461132075471695
"Mike Fiers","Houston Astros",-0.022437127071823215
"Brandon Finnegan","Cincinnati Reds",-0.009972316076294285
"Doug Fister","Houston Astros",-0.05989483953786906
"Dylan Floro","Tampa Bay Rays",-0.013075555555555562
"Gavin Floyd","Toronto Blue Jays",0.03441548387096774
"Brian Flynn","Kansas City Royals",-0.008424977375565634
"Mike Foltynewicz","Atlanta Braves",0.003908571428571428
"Sam Freeman","Milwaukee Brewers",-0.025701818181818187
"Christian Friedrich","San Diego Padres",-0.03115315696649032
"Carson Fulmer","Chicago White Sox",-0.01884075471698113
"Michael Fulmer","Detroit Tigers",-0.0035014528593508565
"Yovani Gallardo","Baltimore Orioles",-0.04592304182509507
"Eddie Gamboa","Tampa Bay Rays",-0.0038162962962963176
"John Gant","Atlanta Braves",0.013200720720720704
"Santiago Casilla","San Francisco Giants",0.062189543568464706
"Jaime Garcia","St. Louis Cardinals",-0.005090850202429165
"Luis Garcia","Philadelphia Phillies",-0.023309473684210547
"Yimi Garcia","Los Angeles Dodgers",-0.09323428571428573
"Perci Garner","Cleveland Indians",0.05334956521739129
"Ryan Garton","Tampa Bay Rays",-0.014537543859649144
"Matt Garza","Milwaukee Brewers",-0.05567618221258136
"Kevin Gausman","Baltimore Orioles",0.02233468956406867
"Cory Gearrin","San Francisco Giants",0.020906395939086275
"Dillon Gee","Kansas City Royals",-0.045995499092558984
"Steve Geltz","Tampa Bay Rays",-0.002162857142857161
"Gonzalez Germen","Colorado Rockies",-0.03169582417582417
"Kyle Gibson","Minnesota Twins",-0.048255068912710586
"Ken Giles","Houston Astros",0.14912335664335666
"Sean Gilmartin","New York Mets",-0.0682794936708861
"Lucas Giolito","Washington Nationals",-0.0986091089108911
"Chad Girodo","Toronto Blue Jays",-0.09388363636363638
"Mychal Givens","Baltimore Orioles",0.09918926517571883
"Tyler Glasnow","Pittsburgh Pirates",0.021051428571428554
"Koda Glover","Washington Nationals",-0.014748915662650602
"Zack Godley","Arizona Diamondbacks",-0.028415522388059722
"Erik Goeddel","New York Mets",0.021779363057324835
"David Goforth","Milwaukee Brewers",-0.043883636363636375
"Jeanmar Gomez","Philadelphia Phillies",-0.04927084175084176
"Gio Gonzalez","Washington Nationals",0.016009411764705883
"Miguel Gonzalez","Chicago White Sox",-0.03967547703180213
"Severino Gonzalez","Philadelphia Phillies",0.017645562913907287
"Nick Goody","New York Yankees",0.05810499999999999
"Tom Gorzelanny","Cleveland Indians",0.0147022222222222
"Trevor Gott","Washington Nationals",0.006765714285714264
"Matt Grace","Washington Nationals",0.19248
"Kendall Graveman","Oakland Athletics",-0.07011541984732825
"Jon Gray","Colorado Rockies",0.05231146067415729
"Sonny Gray","Oakland Athletics",-0.025701818181818187
"Chad Green","New York Yankees",0.05510626262626264
"Shane Greene","Detroit Tigers",0.02294874999999999
"Luke Gregerson","Houston Astros",0.08378434782608693
"Zack Greinke","Arizona Diamondbacks",-0.006620449775112447
"A. J. Griffin","Texas Rangers",0.0026961100196463417
"Jason Grilli","Atlanta Braves",0.07643061728395059
"Jason Grilli","Toronto Blue Jays",0.1336564705882353
"Justin Grimm","Chicago Cubs",0.08136888888888885
"Robert Gsellman","New York Mets",0.01950702702702703
"Mayckol Guaipe","Seattle Mariners",-0.06046117647058824
"Deolis Guerra","Los Angeles Angels of Anaheim",-0.043883636363636375
"Javy Guerra","Los Angeles Angels of Anaheim",-0.07418666666666668
"Junior Guerra","Milwaukee Brewers",-0.004267967479674811
"Jason Gurka","Colorado Rockies",-0.05196444444444445
"Jandel Gustave","Houston Astros",0.05914666666666665
"Jesse Hahn","Oakland Athletics",-0.09421950738916257
"Cole Hamels","Texas Rangers",0.028329056603773578
"Jason Hammel","Chicago Cubs",0.000572485549132945
"Brad Hand","San Diego Padres",0.09742505494505496
"J. A. Happ","Toronto Blue Jays",-0.002746130653266343
"Blaine Hardy","Detroit Tigers",-0.028948571428571435
"Lucas Harrell","Atlanta Braves",-0.0381651612903226
"Lucas Harrell","Texas Rangers",-0.028948571428571435
"Will Harris","Houston Astros",0.06306823529411762
"Donnie Hart","Baltimore Orioles",-0.03850591549295776
"Matt Harvey","New York Mets",-0.018465273631840806
"Chris Hatcher","Los Angeles Dodgers",0.030049060773480657
"Steve Hathaway","Arizona Diamondbacks",0.023249230769230772
"Drew Hayes","Cincinnati Reds",-0.04085333333333335
"Ben Heller","New York Yankees",-0.057520000000000016
"Jeremy Hellickson","Philadelphia Phillies",-0.00803813471502593
"Heath Hembree","Boston Red Sox",0.00324233183856501
"Jim Henderson","New York Mets",0.05054451612903224
"Kyle Hendricks","Chicago Cubs",0.020667919463087242
"Liam Hendriks","Oakland Athletics",0.05066181818181817
"David Hernandez","Philadelphia Phillies",0.040927204968944086
"Felix Hernandez","Seattle Mariners",-0.021260458015267186
"Kelvin Herrera","Kansas City Royals",0.09636692579505299
"Frank Herrmann","Philadelphia Phillies",-0.004621449275362316
"Keith Hessler","San Diego Padres",-0.10286883720930233
"Chris Heston","San Francisco Giants",-0.10407172413793105
"Rich Hill","Oakland Athletics",0.08186906752411574
"Rich Hill","Los Angeles Dodgers",0.09716749999999999
"Dalier Hinojosa","Philadelphia Phillies",-0.025701818181818187
"Luke Hochevar","Kansas City Royals",0.05738066225165564
"Jeff Hoffman","Colorado Rockies",-0.05786013605442178
"Jonathan Holder","New York Yankees",-0.06863111111111111
"Derek Holland","Texas Rangers",-0.062183774403470726
"J. J. Hoover","Cincinnati Reds",-0.052880824742268046
"T. J. House","Cleveland Indians",-0.06466285714285716
"J. P. Howell","Los Angeles Dodgers",-0.007519999999999999
"James Hoyt","Houston Astros",0.1001723076923077
"Daniel Hudson","Arizona Diamondbacks",0.00889791044776117
"Jared Hughes","Pittsburgh Pirates",-0.07522428015564203
"Phil Hughes","Minnesota Twins",-0.07624586872586875
"Tommy Hunter","Cleveland Indians",-0.018631111111111126
